x;Y
-76,5904151;3,465966154
-76,59037805;3,466022648
-76,59037141;3,465764599
-76,5903456;3,465816281
-76,59032112;3,465608228
-76,59031917;3,466250196
-76,59030848;3,465907216
-76,59027804;3,465967109
-76,59026875;3,466070059
-76,59025983;3,466072552
-76,59025502;3,465720322
-76,59025367;3,466215259
-76,59022288;3,466003835
-76,59021279;3,465339386
-76,59020962;3,465569598
-76,5901966;3,466175721
-76,59017737;3,466209862
-76,59017118;3,466268658
-76,59014327;3,466183989
-76,5901329;3,46631163
-76,59011206;3,465221516
-76,59011056;3,466135385
-76,59009033;3,465908044
-76,59008958;3,465733316
-76,5900775;3,466326889
-76,59006025;3,465638382
-76,59004201;3,466342166
-76,59002867;3,465876251
-76,59002848;3,465540549
-76,59001598;3,466348005
-76,59001084;3,465408669
-76,58999076;3,46617371
-76,58998427;3,465829985
-76,58997684;3,466357682
-76,58994174;3,465781864
-76,58994067;3,466007723
-76,58992262;3,466360297
-76,58990946;3,465532883
-76,58988589;3,465735473
-76,58987882;3,466137423
-76,58986672;3,466352963
-76,5898304;3,465633212
-76,58981026;3,466088074
-76,5897989;3,465334918
-76,58976112;3,464765837
-76,58975943;3,466311369
-76,58973106;3,465398183
-76,58969348;3,465969649
-76,58969268;3,466185485
-76,58967321;3,465858904
-76,58966049;3,465458874
-76,58960073;3,466095223
-76,58955806;3,465748013
-76,58952425;3,465993286
-76,58951213;3,465666513
-76,58947398;3,465601921
-76,58944671;3,464706674
-76,58944606;3,464705825
-76,58943171;3,465554269
-76,58941977;3,465469794
-76,58929401;3,464605879
-76,58927932;3,465518386
-76,58927828;3,464926253
-76,58920464;3,464582583
-76,58919313;3,464891647
-76,58914324;3,46542141
-76,58912244;3,464529007
-76,58910877;3,465078922
-76,5891056;3,464756311
-76,58908681;3,464150664
-76,58907873;3,464856842
-76,58907561;3,464113613
-76,58907416;3,465120534
-76,58905358;3,464676782
-76,58905084;3,46402456
-76,5890104;3,463882376
-76,58898439;3,464002453
-76,588975;3,465277901
-76,58893437;3,463882713
-76,5888987;3,463807545
-76,58887368;3,463929319
-76,58885789;3,464046524
-76,58885752;3,463887971
-76,58885521;3,464119107
-76,58885008;3,463751853
-76,58883844;3,464064594
-76,58883646;3,46389731
-76,58883479;3,464065909
-76,58883419;3,465061452
-76,58881602;3,464062558
-76,58881471;3,463929279
-76,58877428;3,463724317
-76,58873535;3,465168321
-76,58872659;3,463671478
-76,58872614;3,463440269
-76,58870518;3,465237431
-76,58869737;3,463616034
-76,58869244;3,463898883
-76,58866899;3,464430023
-76,58866698;3,463555542
-76,58861875;3,463934471
-76,58859712;3,464003474
-76,58859057;3,463434704
-76,5885831;3,463570077
-76,58854846;3,463982569
-76,58852517;3,46336264
-76,58851635;3,464230431
-76,58851561;3,463934854
-76,58849633;3,464184459
-76,58847732;3,463322313
-76,58847709;3,463567147
-76,58847398;3,46403968
-76,58844894;3,46404781
-76,58844268;3,464049843
-76,58844141;3,463522897
-76,58842974;3,463253051
-76,58842746;3,464206817
-76,58840868;3,464212915
-76,58838137;3,463199656
-76,58837108;3,463424367
-76,58831491;3,463111188
-76,58829121;3,463155087
-76,58828982;3,464277841
-76,58826207;3,463081976
-76,588232;3,46443325
-76,5882226;3,463037905
-76,58821595;3,464336251
-76,58820662;3,46429088
-76,58818118;3,464122953
-76,58816614;3,463029464
-76,58813685;3,463241599
-76,58812031;3,462998527
-76,58805241;3,463464258
-76,58803955;3,464159714
-76,5880136;3,462997738
-76,58800029;3,462962206
-76,58798086;3,463411115
-76,58794597;3,462938781
-76,58793632;3,46378792
-76,58793309;3,463131311
-76,58789238;3,463354311
-76,58788738;3,462923308
-76,5878848;3,462895587
-76,58788389;3,462897647
-76,58788298;3,462899706
-76,58787036;3,463759773
-76,58784924;3,462883878
-76,58779723;3,463068064
-76,58778062;3,462856329
-76,58777547;3,464620178
-76,58775224;3,462839094
-76,58771937;3,463545597
-76,58771589;3,464498857
-76,58771107;3,46323023
-76,58766329;3,463505849
-76,58765055;3,46279144
-76,58764469;3,463401274
-76,58763999;3,463583815
-76,58763032;3,463029261
-76,58759734;3,46348199
-76,58759524;3,461494054
-76,58759329;3,464242066
-76,58755999;3,462739146
-76,5875094;3,463238108
-76,58749634;3,462703805
-76,58746481;3,461526431
-76,5874606;3,461536454
-76,58744878;3,462679844
-76,58743956;3,461586571
-76,58742693;3,461616641
-76,58740921;3,463858744
-76,58740324;3,462652919
-76,58735788;3,462625467
-76,58731744;3,461505267
-76,58730481;3,461535337
-76,58729218;3,461565407
-76,58729151;3,462607331
-76,58727534;3,4616055
-76,5872564;3,462212227
-76,58722169;3,462227475
-76,58721987;3,462565011
-76,5872178;3,462564054
-76,58721085;3,462215283
-76,58715289;3,462524492
-76,58714364;3,462400997
-76,58713773;3,462006252
-76,58712122;3,462331612
-76,58711602;3,46238005
-76,58711532;3,462324974
-76,58711379;3,461248902
-76,58710941;3,462318336
-76,58710351;3,462311698
-76,58710028;3,462362348
-76,58709314;3,462327643
-76,58708258;3,462342434
-76,58705298;3,461226786
-76,5870412;3,461419876
-76,58702123;3,462271801
-76,58700279;3,46120706
-76,58697412;3,462217271
-76,58696324;3,461388866
-76,58695931;3,461191244
-76,58691386;3,461174689
-76,58690857;3,462114749
-76,58690731;3,461376392
-76,58689617;3,46117995
-76,5868824;3,461979311
-76,58686202;3,461154808
-76,58681363;3,46113612
-76,58681281;3,461336828
-76,58681041;3,461346648
-76,58678461;3,461407065
-76,58677195;3,461120978
-76,58673395;3,462355825
-76,58673176;3,461105798
-76,5867281;3,461878226
-76,58672535;3,461471957
-76,58672499;3,461753642
-76,58672173;3,461274434
-76,58671246;3,461745397
-76,58669992;3,461737151
-76,58669271;3,461350477
-76,58668994;3,461557036
-76,58668762;3,461089967
-76,58668738;3,461728906
-76,58667484;3,46172066
-76,58666231;3,461712414
-76,58666018;3,461286677
-76,58665001;3,46135564
-76,58664736;3,461073377
-76,58663622;3,461495518
-76,58660751;3,461058063
-76,58660189;3,461742491
-76,58658321;3,461223769
-76,58657199;3,461313179
-76,58655428;3,461039612
-76,5865136;3,461236981
-76,58651025;3,461657576
-76,58643472;3,461616107
-76,58642574;3,461536944
-76,58642284;3,46144339
-76,58639265;3,46147392
-76,58637381;3,461417902
-76,58634806;3,461378938
-76,58630624;3,461340689
-76,58628047;3,46170722
-76,58627331;3,461295883
-76,58626029;3,462085438
-76,58623598;3,461243899
-76,58623046;3,461623691
-76,58619865;3,461189736
-76,58618002;3,460886059
-76,58612706;3,461743992
-76,58610324;3,461100705
-76,58607283;3,462252991
-76,58605497;3,460809716
-76,58603566;3,461799291
-76,58601855;3,461015866
-76,58601216;3,462196023
-76,58599886;3,460737477
-76,58597323;3,461905262
-76,58596758;3,460965104
-76,58593814;3,461841955
-76,5859249;3,46091409
-76,58591486;3,460676747
-76,5859072;3,461787218
-76,58588881;3,460886359
-76,58581818;3,461327736
-76,58579003;3,461721065
-76,58574696;3,46092622
-76,58567715;3,461645451
-76,58567137;3,460915813
-76,58566703;3,460802015
-76,58566274;3,46042593
-76,58565439;3,460381427
-76,5856447;3,46039031
-76,58563288;3,461447072
-76,58563032;3,460352503
-76,58562747;3,460406096
-76,58561853;3,461098889
-76,5856089;3,460754478
-76,58559722;3,460385831
-76,58558668;3,460292342
-76,58557647;3,460726255
-76,58557532;3,460219865
-76,58555647;3,46032718
-76,58554834;3,460289589
-76,58553808;3,460028557
-76,58552794;3,460168662
-76,58552666;3,46096333
-76,58552074;3,460266598
-76,58551962;3,460712362
-76,58551548;3,461632594
-76,58551273;3,460492561
-76,5855121;3,461017654
-76,58548433;3,460469257
-76,58548335;3,460913232
-76,58547452;3,460224187
-76,58546161;3,460886196
-76,5854431;3,460854833
-76,58543396;3,460117532
-76,58543045;3,45993119
-76,58542594;3,460201582
-76,5853986;3,46065246
-76,58539826;3,460138806
-76,58539779;3,460138284
-76,58537775;3,460165293
-76,58534053;3,460824359
-76,58530355;3,460795725
-76,58528635;3,4603072
-76,58526389;3,46070367
-76,58526198;3,460555773
-76,58525634;3,460734265
-76,5852458;3,460366413
-76,58524495;3,460775285
-76,58517486;3,460323487
-76,58514436;3,46025411
-76,58513692;3,460616549
-76,58511191;3,460546914
-76,58511166;3,459818652
-76,58511063;3,460551475
-76,5851095;3,460698259
-76,58509147;3,460238691
-76,58508334;3,460443944
-76,58507421;3,460334218
-76,58498705;3,459240542
-76,58497232;3,460324112
-76,5849574;3,459656822
-76,58493942;3,460661938
-76,58492699;3,460213955
-76,5849054;3,459216995
-76,58485955;3,460198002
-76,58482718;3,459139079
-76,5848271;3,46044814
-76,58480188;3,460177216
-76,5847501;3,459038951
-76,58473554;3,46041302
-76,58469262;3,460237646
-76,58466081;3,458945641
-76,58464428;3,459565887
-76,58462074;3,459616464
-76,58460503;3,460456157
-76,58460462;3,460455164
-76,58460292;3,460209402
-76,58457226;3,459715765
-76,58456783;3,459719454
-76,58455635;3,458912429
-76,58452652;3,459779111
-76,58451978;3,460417992
-76,58451543;3,458528905
-76,58448538;3,460189265
-76,58448383;3,460176375
-76,5844679;3,459826151
-76,58443491;3,458934447
-76,58443222;3,458410914
-76,58442607;3,45893085
-76,58441423;3,458586655
-76,5844075;3,460368139
-76,58440479;3,459863892
-76,58440079;3,45905268
-76,58438922;3,459239706
-76,58436895;3,458618555
-76,58436126;3,459928906
-76,58433875;3,45867884
-76,58432832;3,459385067
-76,58431409;3,460127837
-76,58429725;3,458705633
-76,58426008;3,459953355
-76,58425693;3,458573503
-76,58425372;3,458737075
-76,58424949;3,460296881
-76,58422881;3,458455787
-76,5842057;3,459626105
-76,58418906;3,458477535
-76,58418777;3,459853564
-76,5841492;3,460067821
-76,58414734;3,458501143
-76,58414727;3,458945117
-76,58414474;3,458942389
-76,58413132;3,458254529
-76,58412322;3,45815032
-76,58411413;3,458789188
-76,58410864;3,458393824
-76,58409945;3,459775491
-76,58409787;3,45853967
-76,58407889;3,457828847
-76,58407482;3,460218247
-76,58406814;3,458025166
-76,58404456;3,458024975
-76,5840371;3,459705967
-76,58402987;3,458014153
-76,58401455;3,458002724
-76,58399522;3,457987545
-76,58397491;3,459228487
-76,58396182;3,457964798
-76,58393743;3,460058981
-76,58392654;3,459422311
-76,5839152;3,457939068
-76,58390638;3,459036722
-76,58389573;3,459569239
-76,58389308;3,458849016
-76,58387445;3,457916811
-76,58384437;3,45790388
-76,58383546;3,457902355
-76,58381227;3,459855318
-76,58379919;3,457882848
-76,58378583;3,459049562
-76,58378138;3,45968733
-76,58377266;3,457847719
-76,58374117;3,457820774
-76,58373108;3,459045551
-76,58371193;3,459540282
-76,5837117;3,45779021
-76,5837067;3,459468946
-76,58370193;3,459390168
-76,58368928;3,459224941
-76,58367467;3,457760405
-76,58363775;3,457738976
-76,58359802;3,457724015
-76,583563;3,457689896
-76,58354222;3,45894987
-76,58353463;3,458978101
-76,5835088;3,457674319
-76,58349866;3,458622497
-76,58349656;3,458669434
-76,58347142;3,457645329
-76,58346251;3,458232608
-76,58345308;3,458644028
-76,58344452;3,458544901
-76,58344233;3,457605217
-76,58343791;3,458448614
-76,58339924;3,457576431
-76,58325407;3,458069668
-76,58316114;3,457919301
-76,58244166;3,456765655
-76,582291;3,456498722
-76,58223895;3,456148543
-76,58208514;3,45613574
-76,58206564;3,456164618
-76,58201363;3,45614254
-76,58201147;3,45613904
-76,58196081;3,456267205
-76,581922;3,456325667
-76,58161036;3,455942255
-76,58160565;3,456234295
-76,58160544;3,456337646
-76,581575;3,455988781
-76,58155196;3,456020079
-76,58153507;3,456042374
-76,5815229;3,455957345
-76,58152182;3,456309315
-76,58151164;3,456073235
-76,58148426;3,456109602
-76,58146785;3,456148202
-76,58146759;3,45614788
-76,58145948;3,456042893
-76,58144176;3,456168062
-76,58143267;3,456122824
-76,58143233;3,456122704
-76,58143197;3,456080174
-76,58143043;3,456184693
-76,58141885;3,456119678
-76,58141402;3,456206052
-76,58139027;3,456228166
-76,58138926;3,456105516
-76,5813836;3,456143934
-76,58136581;3,456169433
-76,58128318;3,456207675
-76,58127992;3,456140868
-76,58122211;3,456111829
-76,58121156;3,45617345
-76,58116591;3,456082327
-76,58114701;3,456142579
-76,58110937;3,456054005
-76,58108834;3,456116115
-76,58035535;3,455547306
-76,58034963;3,455549464
-76,58024097;3,455493262
-76,58018435;3,455460197
-76,58014614;3,455401485
-76,58009316;3,455322798
-76,58004001;3,455999891
-76,57999942;3,455284749
-76,57999238;3,455285602
-76,57994333;3,455936362
-76,57990907;3,455405511
-76,57989546;3,455240218
-76,57982779;3,455184622
-76,57978228;3,455125964
-76,57978029;3,455122362
-76,57973432;3,455817637
-76,57972666;3,455069538
-76,57971742;3,455760024
-76,57971367;3,455758292
-76,5796927;3,455742643
-76,57967802;3,455905546
-76,5796721;3,455719266
-76,57967153;3,45571868
-76,57965692;3,455021473
-76,57964615;3,455699319
